Policy ID;Component;Centre;Platform;Component;Centre;Platform;Version;enabled;Policy Identifier (FileType);Regular Expression (regex);installation_node;src_user;src_host;src_path;src_Protocol;dst_user;dst_host;dst_path;dst_protocol;suffix/prefix
47;PM_Outbox;MARINE;REF;SALP_MMDS;MARINE;VAL;01.00;YES;S3A_DO_0_DOP;^S3A_DO_0_DOP.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3pdgs;s3-refsims02-prd.eumetsat.int;out/toSALP/DO_0_DOP___/;FTP;
48;PM_Outbox;MARINE;REF;SALP_MMDS;MARINE;VAL;01.00;YES;S3A_DO_0_NAV;^S3A_DO_0_NAV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3pdgs;s3-refsims02-prd.eumetsat.int;out/toSALP/DO_0_NAV___/;FTP;
49;PM_Outbox;MARINE;REF;SALP_MMDS;MARINE;VAL;01.00;YES;S3A_GN_0_GNS;^S3A_GN_0_GNS.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3pdgs;s3-refsims02-prd.eumetsat.int;out/toSALP/GN_0_GNS___/;FTP;
50;PM_Outbox;MARINE;REF;SALP_MMDS;MARINE;VAL;01.00;YES;S3A_TM_0_NAT;^S3A_TM_0_NAT.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;s3pdgs;s3-refsims02-prd.eumetsat.int;out/toSALP/TM_0_NAT___/;FTP;
51;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_DO_0_DOP;^S3A_DO_0_DOP.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
52;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_DO_0_NAV;^S3A_DO_0_NAV.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
53;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_GN_0_GNS;^S3A_GN_0_GNS.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
54;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_MW_0_MWR;^S3A_MW_0_MWR.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
55;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_MW_1_CAL_NR;^S3A_MW_1_CAL____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
56;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_MW_1_MWR_NR;^S3A_MW_1_MWR____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
57;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_0_CR0;^S3A_OL_0_CR0.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
58;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_0_CR1;^S3A_OL_0_CR1.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
59;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_1_EFR_NR;^S3A_OL_1_EFR____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
60;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_1_ERR_NR;^S3A_OL_1_ERR____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
61;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_1_RAC_NR;^S3A_OL_1_RAC____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
62;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_2_WFR_NR;^S3A_OL_2_WFR____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
63;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_OL_2_WRR_NR;^S3A_OL_2_WRR____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
64;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SL_1_RBT_NR;^S3A_SL_1_RBT____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
65;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SL_2_WCT_NR;^S3A_SL_2_WCT____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
66;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SL_2_WST_NR;^S3A_SL_2_WST____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
67;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SR_0_CAL;^S3A_SR_0_CAL.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
68;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SR_1_SRA_NR;^S3A_SR_1_SRA____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
69;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_SR_2_WAT_NR;^S3A_SR_2_WAT____..............._..............._..............._................._..._F_NR_...\..*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
70;PM_Outbox;MARINE;REF;ODA_INBOX;MARINE;REF;01.00;YES;S3A_TM_0_HKM;^S3A_TM_0_HKM.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refodas01.eumetsat.int;/ODA_INBOX;FTP;
